Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
"(9Z,12Z)-Octadecadienoate",5460332,,,C18H31O2-,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-]
(9Z)-Octadecenoate,5460221,,,C18H33O2-,CCCCCCCC/C=C\CCCCCCCC(=O)[O-]
Hexadecanoate,504166,,,C16H31O2-,CCCCCCCCCCCCCCCC(=O)[O-]
Octadecanoate,3033836,,,C18H35O2-,CCCCCCCCCCCCCCCCCC(=O)[O-]
(9Z)-Hexadecenoate,5461012,,,C16H29O2-,CCCCCC/C=C\CCCCCCCC(=O)[O-]
Benzoate,242,,,C7H5O2-,C1=CC=C(C=C1)C(=O)[O-]
(11R)-carlactone,146264972,,,C19H26O3,CC1=C(C(CCC1)(C)C)/C=C/C(=C\O[C@H]2C=C(C(=O)O2)C)/C
(11R)-19-hydroxycarlactone,168007568,,,C19H26O4,CC1=C(C(CCC1)(C)C)/C=C/C(=C\O[C@H]2C=C(C(=O)O2)C)/CO
(11R)-19-oxocarlactone,168007644,,,C19H24O4,CC1=C(C(CCC1)(C)C)/C=C/C(=C\O[C@H]2C=C(C(=O)O2)C)/C=O
Tryprostatin B,9863281,,,C21H25N3O2,CC(=CCC1=C(C2=CC=CC=C2N1)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3)C
Tryprostatin A,9929833,,,C22H27N3O3,CC(=CCC1=C(C2=C(N1)C=C(C=C2)OC)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3)C
Fumitremorgin C,403923,,,C22H25N3O3,CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C
(7S)-Marmesin,334704,,,C14H14O4,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O
(S)-Columbianetin,92201,,,C14H14O4,CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O
"(2E,6E)-Farnesoate",21895630,,,C20H34O,CC(=CCC/C(=C/CC/C(=C/C(=O)[O-])/C)/C)C
Vitamin D3,5280795,,,C27H44O,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C
"5Beta-Cholestane-3Alpha,7Alpha,12Alpha-Triol",160520,,,C27H48O3,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
Tetradecane,12389,,,C14H30,CCCCCCCCCCCCCC
Dodecane,8182,,,C12H26,CCCCCCCCCCCC
"Cyclooctat-9-Ene-5,7-Diol",90658403,,,C20H34O2,CC1CC(C2C1CC3(CCC(C3=CCC2(C)O)C(C)C)C)O
(2E)-Geraniol,637566,,,C10H18O,CC(=CCC/C(=C/CO)/C)C
Zeinoxanthin,5281234,,,C40H56O,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C
Alpha-Carotene,6419725,,,C40H56,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@H]2C(=CCCC2(C)C)C)/C)/C
L-Valine,6287,,,C5H11NO2,CC(C)[C@@H](C(=O)O)N
L-Isoleucine,6306,,,C6H13NO2,CC[C@H](C)[C@@H](C(=O)O)N
Mevastatin,64715,,,C23H34O5,CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O
(+)-(R)-Germacrene A,9548705,,,C15H24,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C)/C
2-Methylbutanal Oxime,170814,,,C5H11NO,CCC(C)C=NO
2-Methylpropanal,6561,,,(CH3)2CHCHO,CC(C)C=O
Pentalenolactone F,11065764,,,C15H18O5,CC1(C[C@H]2C=C([C@H]3[C@]2(C1)[C@@]4(CO4)C(=O)OC3)C(=O)O)C
"(1E,4E,8E)-Alpha-Humulene",5281520,,,C15H24,C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C
Palustradiene,443473,,,C20H32,CC(C)C1=CC2=C(CC1)[C@]3(CCCC([C@@H]3CC2)(C)C)C
Isopimaradiene,13969536,,,C20H32,C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCCC3(C)C)C)C1)C=C
Sandaracopimaradiene,443469,,,C20H32,C[C@@]1(CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)C=C
Neoabietadiene,443472,,,C20H32,CC(=C1CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)C
Levopimaradiene,443471,,,C20H32,CC(C)C1=CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C
Pimaradiene,440909,,,C20H32,C[C@]1(CC[C@H]2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)C=C
Abietadiene,443470,,,C20H32,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCCC3(C)C)C
Hydrogen Peroxide,784,,,H2O2,OO
32-Hydroxylanosterol,22298935,,111420-56-5,C30H50O2,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)CO
32-Oxolanosterol,21121725,79294-83-0,,C30H48O2,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C=O
