substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
554,72899,1,2,,HCUARRIEZVDMPT-UHFFFAOYSA-N,12,1,1
555,,1,,,,,,
556,3334,1,10,,HDDSHPAODJUKPD-UHFFFAOYSA-N,21,4,1
557,22326239,1,10,,HDIIAKZNFLPDPT-UHFFFAOYSA-N,11,5,1
558,23592151,1,4,,HDSQQGUHMIZCLC-UHFFFAOYSA-N,13,1,1
559,24941266,1,0,,HDTINWYIVVMRIN-HSZRJFAPSA-N,37,24,1
560,44263343,1,3,,HESFZGWRDUVOMS-FJNAKSJRSA-N,27,3,1
561,176918,1,2,,HFPQKJMLIONCGP-UHFFFAOYSA-N,21,2,1
562,7463,1,2,,HFPZCAJZSCWRBC-UHFFFAOYSA-N,10,1,1
563,11222,1,2,,HFSXHZZDNDGLQN-ZVIOFETBSA-N,26,3,1
564,73399,1,10,,HGXBRUKMWQGOIE-AFHBHXEDSA-N,26,4,1
565,234817,1,10,,HGXBRUKMWQGOIE-UHFFFAOYSA-N,26,4,1
566,637584,1,10,,HGXBRUKMWQGOIE-WZBLMQSHSA-N,26,4,1
567,122499666,1,10,,HHQVLUOUFIHVSI-UHFFFAOYSA-N,18,3,1
568,25245832,1,10,,HHZKKFXQEIBVEV-CXXUKANQSA-M,21,13,1
569,1549026,1,10,,HIGQPQRQIQDZMP-DHZHZOJOSA-N,14,6,1
570,83845,1,10,,HJEZFVLKJYFNQW-FKKRWUELSA-N,38,4,1
571,,1,,,,,,
572,9309,1,7,,HJWLCRVIBGQPNF-UHFFFAOYSA-N,9,2,1
573,5280378,1,3,,HKQYGTCOTHHOMP-UHFFFAOYSA-N,20,2,1
574,154585526,1,0,,HKVAMNSJSFKALM-PGYDAPRHSA-N,68,9,1
575,5281107,1,10,,HKXBNHCUPKIYDM-CGMHZMFXSA-N,30,5,1
576,135871120,1,2,,HLLYQNIOBPIXKP-UHFFFAOYSA-N,30,1,1
577,8209,1,10,,HLZKNKRTKFSKGZ-UHFFFAOYSA-N,15,12,1
578,53297343,1,10,,HMCYXRFNNOPPPR-JLIMGVALSA-N,12,3,1
579,,1,,,,,,
580,74975001,1,10,,HMMLORCBSFAACN-UHFFFAOYSA-N,27,6,1
581,12101,1,4,,HMNKTRSOROOSPP-UHFFFAOYSA-N,9,1,1
582,11052747,1,5,,HMTAHNDPLDKYJT-CBBWQLFWSA-N,15,1,1
583,3080551,1,2,,HMWSKUKBAWWOJL-KCQAQPDRSA-N,16,1,1
584,13723971,1,10,,HNICUWMFWZBIFP-WHLLTAFYSA-N,21,14,1
585,7520,1,3,,HNKJADCVZUBCPG-UHFFFAOYSA-N,8,1,1
586,443479,1,4,,HOFSYSONRIGEAC-LWYYNNOASA-N,21,2,1
587,,1,,,,,,
