cyp_id,kingdom,reason,num_pairs_lost
CYP98A113,Viridiplantae,no_smiles,1
CYP98A14,Viridiplantae,no_smiles,1
CYP98A34,Viridiplantae,no_smiles,1
CYP98A6,Viridiplantae,no_smiles,1
CYP98A9,Viridiplantae,no_smiles,1
CYP51V1,Virus,no_smiles,1
tadB,Fungi,no_smiles,1
CYP3,Fungi,no_smiles,1
bsc1,Fungi,no_smiles,1
ORF5,Fungi,no_substrate,0
ORF6,Fungi,no_substrate,0
